DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\http\server.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1740858006.5271451
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\email\utils.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1740858008.956874
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\urls\conf.py first seen with mtime 1740858008.9251647
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\backports\zoneinfo\__init__.py first seen with mtime 1740858003.9272406
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1740858008.7810378
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\copy.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\urllib\parse.py first seen with mtime 1613764528.0
DEBUG 2025-03-25 23:18:52,171 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\utils\hashable.py first seen with mtime 1740858008.9485505
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1740858008.9085515
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1740858008.2409747
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1740858008.8850112
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1740858008.6485493
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\importlib\__init__.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1740858008.651068
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\collections\__init__.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\hashlib.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\email\message.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\runners.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\files\temp.py first seen with mtime 1740858008.6724472
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1740858008.7959733
DEBUG 2025-03-25 23:18:52,172 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1740858008.9130735
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\sqlite3\dbapi2.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\asyncio\log.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\AppData\Local\Programs\Python\Python38\Lib\mimetypes.py first seen with mtime 1613764526.0
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\files\base.py first seen with mtime 1740858008.66791
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1740858008.724167
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1740858008.6764493
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\views\generic\base.py first seen with mtime 1740858008.9945185
DEBUG 2025-03-25 23:18:52,173 autoreload File C:\Users\alonv\Documents\pyton\proyecto_parcial2\env\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1740858008.8014686
